engagement_id,audience_id,channel_type,impressions,reach,frequency,engagement_rate
ENG_001082,AUD_000310,TV,193884,120531,1.61,0.0081
ENG_001083,AUD_000311,TV,79009,67428,1.17,0.0089
ENG_001084,AUD_000311,Radio,18941,11384,1.66,0.0292
ENG_001085,AUD_000311,Streaming,30699,22260,1.38,0.0115
ENG_001086,AUD_000312,TV,175102,143758,1.22,0.0099
ENG_001087,AUD_000312,Radio,5452,3726,1.46,0.0276
ENG_001088,AUD_000312,Print,3076,2059,1.49,0.0184
ENG_001089,AUD_000312,Email,8818,5434,1.62,0.0247
ENG_001090,AUD_000313,Radio,6517,4861,1.34,0.0184
ENG_001091,AUD_000313,TV,89835,75146,1.2,0.0032
ENG_001092,AUD_000313,Email,8548,6425,1.33,0.0092
ENG_001093,AUD_000314,Social,22048,15828,1.39,0.0354
ENG_001094,AUD_000314,OOH,9716,6279,1.55,0.0222
ENG_001095,AUD_000315,Email,1861,1408,1.32,0.0196
ENG_001096,AUD_000315,TV,75173,51587,1.46,0.0047
ENG_001097,AUD_000315,Streaming,42216,35834,1.18,0.0139
ENG_001098,AUD_000315,Print,2533,1911,1.33,0.0246
ENG_001099,AUD_000316,TV,179912,143612,1.25,0.004
ENG_001100,AUD_000316,Retail,727,618,1.18,0.0044
ENG_001101,AUD_000316,Radio,5104,4457,1.15,0.0145
ENG_001102,AUD_000316,OOH,6583,4156,1.58,0.0188
ENG_001103,AUD_000317,Retail,2396,1845,1.3,0.0211
ENG_001104,AUD_000317,Email,16455,10489,1.57,0.0283
ENG_001105,AUD_000317,Digital,5647,3438,1.64,0.0384
ENG_001106,AUD_000317,Social,12683,9110,1.39,0.0608
ENG_001107,AUD_000317,OOH,17519,14126,1.24,0.0275
ENG_001108,AUD_000318,Radio,10626,8864,1.2,0.0184
ENG_001109,AUD_000318,OOH,14266,10173,1.4,0.0011
ENG_001110,AUD_000318,Print,5426,3612,1.5,0.012
ENG_001111,AUD_000318,Streaming,17608,14618,1.2,0.0178
ENG_001112,AUD_000318,Social,16399,11134,1.47,0.0289
ENG_001113,AUD_000319,Email,7322,5351,1.37,0.0182
ENG_001114,AUD_000319,TV,181352,143598,1.26,0.0042
ENG_001115,AUD_000320,Email,11031,7333,1.5,0.0082
ENG_001116,AUD_000320,Retail,3490,2216,1.57,0.0015
ENG_001117,AUD_000320,TV,153789,120310,1.28,0.0074
ENG_001118,AUD_000321,OOH,14721,11308,1.3,0.0285
ENG_001119,AUD_000321,Radio,2681,1783,1.5,0.0225
ENG_001120,AUD_000321,Streaming,66014,43495,1.52,0.012
ENG_001121,AUD_000321,Email,3277,2418,1.36,0.0053
ENG_001122,AUD_000321,Social,22218,17019,1.31,0.0349
ENG_001123,AUD_000322,OOH,6135,4803,1.28,0.0265
ENG_001124,AUD_000322,Print,17880,11961,1.49,0.0188
ENG_001125,AUD_000322,Digital,5748,3809,1.51,0.035
ENG_001126,AUD_000323,Social,23878,20648,1.16,0.0438
ENG_001127,AUD_000323,Radio,18102,14409,1.26,0.0295
ENG_001128,AUD_000323,Streaming,34668,22681,1.53,0.0171
ENG_001129,AUD_000323,OOH,16335,14111,1.16,0.0094
ENG_001130,AUD_000324,Streaming,43286,34015,1.27,0.014
ENG_001131,AUD_000324,Email,10980,8087,1.36,0.0105
ENG_001132,AUD_000325,Social,10026,8304,1.21,0.0772
ENG_001133,AUD_000325,OOH,2305,1781,1.29,0.0131
ENG_001134,AUD_000325,Print,18498,11475,1.61,0.01
ENG_001135,AUD_000325,Email,13758,12285,1.12,0.0108
ENG_001136,AUD_000325,TV,175639,155219,1.13,0.0031
ENG_001137,AUD_000326,Streaming,12783,8985,1.42,0.0081
ENG_001138,AUD_000326,TV,155241,118360,1.31,0.0086
ENG_001139,AUD_000326,Radio,4164,3650,1.14,0.016
ENG_001140,AUD_000326,Email,1661,1142,1.45,0.0042
ENG_001141,AUD_000326,Digital,49199,36853,1.34,0.0453
ENG_001142,AUD_000327,Retail,1352,1175,1.15,0.0156
ENG_001143,AUD_000327,Social,17588,12960,1.36,0.0472
ENG_001144,AUD_000327,TV,67918,54553,1.24,0.0048
ENG_001145,AUD_000327,OOH,19880,15435,1.29,0.0122
ENG_001146,AUD_000327,Streaming,76361,56413,1.35,0.0085
ENG_001147,AUD_000328,Retail,762,517,1.47,0.0259
ENG_001148,AUD_000328,Streaming,67626,60797,1.11,0.0188
ENG_001149,AUD_000328,TV,159990,117556,1.36,0.0092
ENG_001150,AUD_000329,Print,16632,13443,1.24,0.0169
ENG_001151,AUD_000329,Radio,3184,2438,1.31,0.0052
ENG_001152,AUD_000329,Email,4855,3155,1.54,0.0152
ENG_001153,AUD_000330,Digital,43174,26733,1.62,0.0452
ENG_001154,AUD_000330,Retail,711,562,1.27,0.0095
ENG_001155,AUD_000330,OOH,12392,9953,1.25,0.0172
ENG_001156,AUD_000330,Radio,11968,10324,1.16,0.0066
ENG_001157,AUD_000331,TV,169467,147395,1.15,0.0028
ENG_001158,AUD_000331,Retail,4838,3368,1.44,0.0174
ENG_001159,AUD_000331,Streaming,74752,45340,1.65,0.0173
ENG_001160,AUD_000332,Retail,2719,2242,1.21,0.0011
ENG_001161,AUD_000332,Email,2936,2418,1.21,0.0089
ENG_001162,AUD_000332,OOH,15567,11066,1.41,0.0023
ENG_001163,AUD_000332,Radio,8813,7334,1.2,0.0299
ENG_001164,AUD_000332,TV,63347,51816,1.22,0.0038
ENG_001165,AUD_000333,OOH,6207,4812,1.29,0.0162
ENG_001166,AUD_000333,Email,6286,4104,1.53,0.0173
ENG_001167,AUD_000334,Retail,2690,1822,1.48,0.0181
ENG_001168,AUD_000334,Digital,36812,28445,1.29,0.0396
ENG_001169,AUD_000334,Social,5889,5116,1.15,0.0425
ENG_001170,AUD_000334,Streaming,72972,58880,1.24,0.0172
ENG_001171,AUD_000335,Radio,17670,15379,1.15,0.0144
ENG_001172,AUD_000335,Retail,2493,2209,1.13,0.015
ENG_001173,AUD_000335,Social,3193,2787,1.15,0.0704
ENG_001174,AUD_000335,Email,11571,7593,1.52,0.018
ENG_001175,AUD_000335,Digital,14363,10145,1.42,0.0386
ENG_001176,AUD_000336,Print,16059,10215,1.57,0.0104
ENG_001177,AUD_000336,OOH,14149,8497,1.67,0.0194
ENG_001178,AUD_000337,Retail,1001,889,1.13,0.0056
ENG_001179,AUD_000337,Social,13354,11834,1.13,0.0235
ENG_001180,AUD_000337,Radio,10617,6755,1.57,0.0271
ENG_001181,AUD_000337,TV,157219,126502,1.24,0.0086
ENG_001182,AUD_000337,Digital,35464,25024,1.42,0.0292
ENG_001183,AUD_000338,OOH,6103,5275,1.16,0.0177
ENG_001184,AUD_000338,Streaming,71435,45059,1.59,0.0114
ENG_001185,AUD_000339,TV,96779,87088,1.11,0.0051
ENG_001186,AUD_000339,Print,19660,16046,1.23,0.0276
ENG_001187,AUD_000339,OOH,10637,7054,1.51,0.0169
ENG_001188,AUD_000339,Digital,11598,8653,1.34,0.0388
ENG_001189,AUD_000340,Print,2135,1373,1.55,0.0111
ENG_001190,AUD_000340,Digital,21159,18730,1.13,0.0259
ENG_001191,AUD_000340,Email,8606,6646,1.29,0.0102
ENG_001192,AUD_000340,Streaming,50498,45381,1.11,0.0091
ENG_001193,AUD_000340,Social,16810,10721,1.57,0.0451
ENG_001194,AUD_000341,Print,2468,1985,1.24,0.0136
ENG_001195,AUD_000341,OOH,1702,1220,1.4,0.0273
ENG_001196,AUD_000341,Retail,3123,2539,1.23,0.0214
ENG_001197,AUD_000341,Streaming,14301,11425,1.25,0.0078
ENG_001198,AUD_000342,Social,1967,1594,1.23,0.0723
ENG_001199,AUD_000342,Retail,4360,2912,1.5,0.0261
ENG_001200,AUD_000343,TV,165095,120623,1.37,0.0097
ENG_001201,AUD_000343,Print,10387,8276,1.26,0.0104
ENG_001202,AUD_000343,Social,21805,14252,1.53,0.0294
ENG_001203,AUD_000344,Print,8250,5778,1.43,0.0213
ENG_001204,AUD_000344,Retail,4600,3788,1.21,0.0275
ENG_001205,AUD_000345,Email,8856,7906,1.12,0.0161
ENG_001206,AUD_000345,TV,137275,101024,1.36,0.0027
ENG_001207,AUD_000345,Digital,19652,14020,1.4,0.0423
ENG_001208,AUD_000345,Retail,3652,2516,1.45,0.0106
ENG_001209,AUD_000345,OOH,13199,8447,1.56,0.0042
ENG_001210,AUD_000346,TV,52918,47513,1.11,0.0041
ENG_001211,AUD_000346,OOH,12973,11604,1.12,0.0012
ENG_001212,AUD_000347,Radio,14057,10676,1.32,0.0268
ENG_001213,AUD_000347,TV,119975,82397,1.46,0.0021
ENG_001214,AUD_000347,Retail,2064,1451,1.42,0.0205
ENG_001215,AUD_000348,Digital,14861,12814,1.16,0.0199
ENG_001216,AUD_000348,Radio,15119,9184,1.65,0.0121
ENG_001217,AUD_000348,Retail,2032,1423,1.43,0.011
ENG_001218,AUD_000348,Social,12999,8140,1.6,0.068
ENG_001219,AUD_000348,Print,15638,12642,1.24,0.0115
ENG_001220,AUD_000349,OOH,11963,7959,1.5,0.0252
ENG_001221,AUD_000349,Retail,1914,1409,1.36,0.0067
ENG_001222,AUD_000349,Email,9230,7773,1.19,0.0107
ENG_001223,AUD_000350,Streaming,65457,52778,1.24,0.0067
ENG_001224,AUD_000350,OOH,9809,7112,1.38,0.0036
ENG_001225,AUD_000351,Print,15140,12581,1.2,0.0082
ENG_001226,AUD_000351,Streaming,28499,18189,1.57,0.0151
ENG_001227,AUD_000351,Digital,22151,19290,1.15,0.041
ENG_001228,AUD_000351,OOH,2282,1876,1.22,0.0158
ENG_001229,AUD_000352,Streaming,79209,63945,1.24,0.0075
ENG_001230,AUD_000352,Retail,4126,2565,1.61,0.0172
ENG_001231,AUD_000353,TV,129178,98968,1.31,0.0079
ENG_001232,AUD_000353,Retail,1478,1245,1.19,0.0269
ENG_001233,AUD_000353,Streaming,77544,49084,1.58,0.0163
ENG_001234,AUD_000353,Social,20709,13976,1.48,0.0637
ENG_001235,AUD_000354,Radio,11803,10101,1.17,0.0274
ENG_001236,AUD_000354,TV,183134,112176,1.63,0.0021
ENG_001237,AUD_000355,Social,10260,8348,1.23,0.0215
ENG_001238,AUD_000355,Email,2092,1602,1.31,0.0225
ENG_001239,AUD_000356,Radio,8253,5796,1.42,0.0196
ENG_001240,AUD_000356,Print,15159,12780,1.19,0.0181
ENG_001241,AUD_000357,Digital,20460,18411,1.11,0.0139
ENG_001242,AUD_000357,Streaming,64374,49601,1.3,0.0113
ENG_001243,AUD_000358,Streaming,66382,59002,1.13,0.0174
ENG_001244,AUD_000358,Digital,21926,14104,1.55,0.0146
ENG_001245,AUD_000358,OOH,12361,9515,1.3,0.0261
ENG_001246,AUD_000359,Digital,38374,32505,1.18,0.0413
ENG_001247,AUD_000359,TV,119064,92326,1.29,0.0072
ENG_001248,AUD_000359,Social,11519,8980,1.28,0.0708
ENG_001249,AUD_000359,Email,13739,8261,1.66,0.0178
ENG_001250,AUD_000359,Retail,503,338,1.49,0.0033
ENG_001251,AUD_000360,Print,12598,9431,1.34,0.0271
ENG_001252,AUD_000360,Radio,4931,4081,1.21,0.0123
ENG_001253,AUD_000360,Social,17088,14613,1.17,0.0751
ENG_001254,AUD_000360,OOH,4163,2761,1.51,0.0093
ENG_001255,AUD_000361,TV,199372,160020,1.25,0.0046
ENG_001256,AUD_000361,Retail,1322,951,1.39,0.0112
ENG_001257,AUD_000361,Streaming,79253,56720,1.4,0.0181
ENG_001258,AUD_000361,OOH,19466,16804,1.16,0.0065
ENG_001259,AUD_000362,Digital,35917,32284,1.11,0.0497
ENG_001260,AUD_000362,Social,24837,22196,1.12,0.0532
ENG_001261,AUD_000362,TV,178240,127560,1.4,0.0018
ENG_001262,AUD_000363,Print,19628,13920,1.41,0.0254
ENG_001263,AUD_000363,Streaming,57584,43015,1.34,0.0098
ENG_001264,AUD_000363,OOH,14004,8900,1.57,0.0226
ENG_001265,AUD_000364,Email,11233,9720,1.16,0.002
ENG_001266,AUD_000364,Social,8184,5816,1.41,0.058
ENG_001267,AUD_000364,Retail,2787,2374,1.17,0.0206
ENG_001268,AUD_000364,Streaming,72105,54402,1.33,0.0103
ENG_001269,AUD_000365,Digital,33401,26172,1.28,0.0249
ENG_001270,AUD_000365,TV,101418,66259,1.53,0.007
ENG_001271,AUD_000366,Digital,14100,9475,1.49,0.0316
ENG_001272,AUD_000366,OOH,3716,3128,1.19,0.0146
ENG_001273,AUD_000366,Social,8559,7461,1.15,0.0274
ENG_001274,AUD_000366,Radio,7745,6071,1.28,0.0186
ENG_001275,AUD_000366,Streaming,55139,49050,1.12,0.0145
ENG_001276,AUD_000367,Email,1581,990,1.6,0.0142
ENG_001277,AUD_000367,TV,71146,57157,1.24,0.0012
ENG_001278,AUD_000367,Streaming,27032,20793,1.3,0.0104
ENG_001279,AUD_000367,Print,1580,1011,1.56,0.0122
ENG_001280,AUD_000367,Retail,2845,1935,1.47,0.0075
ENG_001281,AUD_000368,Social,10236,8280,1.24,0.0573
ENG_001282,AUD_000368,Retail,751,617,1.22,0.0064
ENG_001283,AUD_000368,TV,112477,92319,1.22,0.0021
ENG_001284,AUD_000368,Radio,18320,13361,1.37,0.0202
ENG_001285,AUD_000369,OOH,9421,6982,1.35,0.0197
ENG_001286,AUD_000369,TV,85584,70636,1.21,0.0074
ENG_001287,AUD_000369,Social,4197,2618,1.6,0.0723
ENG_001288,AUD_000369,Print,10675,6409,1.67,0.0077
ENG_001289,AUD_000369,Radio,9202,6202,1.48,0.0146
ENG_001290,AUD_000370,Print,3783,2998,1.26,0.014
ENG_001291,AUD_000370,TV,174696,146002,1.2,0.0078
ENG_001292,AUD_000370,Email,8264,5425,1.52,0.0281
ENG_001293,AUD_000371,Digital,43762,29223,1.5,0.0346
ENG_001294,AUD_000371,Email,5388,3659,1.47,0.0114
ENG_001295,AUD_000371,OOH,17139,12735,1.35,0.0233
ENG_001296,AUD_000371,Streaming,69767,51408,1.36,0.0104
ENG_001297,AUD_000372,TV,186620,141394,1.32,0.0041
ENG_001298,AUD_000372,Digital,11110,6998,1.59,0.047
ENG_001299,AUD_000372,Email,18246,12639,1.44,0.0299
ENG_001300,AUD_000372,Radio,8447,6869,1.23,0.0065
ENG_001301,AUD_000373,Print,17564,15139,1.16,0.0061
ENG_001302,AUD_000373,OOH,1518,1256,1.21,0.0241
ENG_001303,AUD_000373,Retail,2837,2095,1.35,0.0271
ENG_001304,AUD_000374,Radio,16558,10212,1.62,0.0121
ENG_001305,AUD_000374,Retail,2502,2013,1.24,0.0062
ENG_001306,AUD_000374,Social,12152,8171,1.49,0.0587
ENG_001307,AUD_000375,Digital,25348,18306,1.38,0.0441
ENG_001308,AUD_000375,Radio,16538,12860,1.29,0.0094
ENG_001309,AUD_000376,OOH,15238,10126,1.5,0.013
ENG_001310,AUD_000376,Streaming,20279,17479,1.16,0.018
ENG_001311,AUD_000376,Retail,3167,2487,1.27,0.0094
ENG_001312,AUD_000376,Print,11748,10496,1.12,0.018
ENG_001313,AUD_000376,Radio,3118,1978,1.58,0.0172
ENG_001314,AUD_000377,Digital,10726,8426,1.27,0.0284
ENG_001315,AUD_000377,Social,17198,12833,1.34,0.0454
ENG_001316,AUD_000377,Radio,14140,11346,1.25,0.0157
ENG_001317,AUD_000377,Email,13421,11609,1.16,0.0112
ENG_001318,AUD_000377,TV,197514,174423,1.13,0.0089
ENG_001319,AUD_000378,Streaming,27713,16796,1.65,0.0133
ENG_001320,AUD_000378,OOH,5041,3059,1.65,0.0019
ENG_001321,AUD_000378,Retail,2593,1694,1.53,0.0247
ENG_001322,AUD_000378,Radio,14638,11400,1.28,0.0125
ENG_001323,AUD_000378,Email,11477,7181,1.6,0.0152
ENG_001324,AUD_000379,Streaming,15602,12006,1.3,0.011
ENG_001325,AUD_000379,Retail,1304,1029,1.27,0.0238
ENG_001326,AUD_000379,Print,1459,1165,1.25,0.0012
ENG_001327,AUD_000379,OOH,9689,7648,1.27,0.0112
ENG_001328,AUD_000380,Digital,36704,31467,1.17,0.046
ENG_001329,AUD_000380,Retail,2900,2502,1.16,0.0219
ENG_001330,AUD_000380,Streaming,61652,44824,1.38,0.0156
ENG_001331,AUD_000380,Radio,5210,4093,1.27,0.0247
ENG_001332,AUD_000380,Print,7500,6420,1.17,0.0285
ENG_001333,AUD_000381,Streaming,70915,45852,1.55,0.01
ENG_001334,AUD_000381,OOH,6899,5489,1.26,0.0261
ENG_001335,AUD_000381,TV,117113,77493,1.51,0.0095
ENG_001336,AUD_000381,Retail,3183,2131,1.49,0.0135
ENG_001337,AUD_000382,OOH,7968,5380,1.48,0.0219
ENG_001338,AUD_000382,Email,5262,3769,1.4,0.0252
ENG_001339,AUD_000382,Social,11970,9092,1.32,0.0489
ENG_001340,AUD_000382,Print,2575,1704,1.51,0.003
ENG_001341,AUD_000383,OOH,16411,14338,1.14,0.0032
ENG_001342,AUD_000383,Streaming,33898,29160,1.16,0.0054
ENG_001343,AUD_000383,Digital,32062,20058,1.6,0.0364
ENG_001344,AUD_000383,TV,59235,44095,1.34,0.0034
ENG_001345,AUD_000384,Print,16550,10682,1.55,0.0255
ENG_001346,AUD_000384,Email,3952,2915,1.36,0.0228
ENG_001347,AUD_000384,Retail,1894,1301,1.46,0.0077
ENG_001348,AUD_000384,Social,13781,10018,1.38,0.0594
ENG_001349,AUD_000384,Digital,21055,17576,1.2,0.0394
ENG_001350,AUD_000385,Digital,17925,12835,1.4,0.0496
ENG_001351,AUD_000385,Radio,19770,14066,1.41,0.0052
ENG_001352,AUD_000385,Print,12875,8983,1.43,0.0139
ENG_001353,AUD_000386,OOH,16550,14743,1.12,0.023
ENG_001354,AUD_000386,Social,2814,2246,1.25,0.0306
ENG_001355,AUD_000386,Digital,19679,15659,1.26,0.0219
ENG_001356,AUD_000386,Radio,16114,13734,1.17,0.0088
ENG_001357,AUD_000386,TV,158841,131004,1.21,0.0097
ENG_001358,AUD_000387,Digital,10778,7308,1.47,0.0379
ENG_001359,AUD_000387,Print,7704,6139,1.25,0.0204
ENG_001360,AUD_000388,Streaming,67854,47506,1.43,0.0155
ENG_001361,AUD_000388,Print,9377,6253,1.5,0.0262
ENG_001362,AUD_000388,Email,2253,1745,1.29,0.0028
ENG_001363,AUD_000389,Print,3020,2402,1.26,0.0068
ENG_001364,AUD_000389,Email,5754,4679,1.23,0.0044
ENG_001365,AUD_000389,Streaming,17053,12066,1.41,0.0062
ENG_001366,AUD_000389,TV,117889,72731,1.62,0.0056
ENG_001367,AUD_000390,Retail,1240,820,1.51,0.02
ENG_001368,AUD_000390,Streaming,35612,30700,1.16,0.0153
ENG_001369,AUD_000391,Social,21598,18704,1.15,0.0659
ENG_001370,AUD_000391,Print,11384,8813,1.29,0.0168
ENG_001371,AUD_000391,Digital,33879,25010,1.35,0.0379
ENG_001372,AUD_000391,Streaming,53861,38142,1.41,0.0128
ENG_001373,AUD_000391,Email,2210,1640,1.35,0.0296
ENG_001374,AUD_000392,Streaming,33996,30330,1.12,0.0191
ENG_001375,AUD_000392,Radio,1310,805,1.63,0.0047
ENG_001376,AUD_000392,Digital,21206,14103,1.5,0.0378
ENG_001377,AUD_000392,OOH,4436,2943,1.51,0.0047
ENG_001378,AUD_000392,Retail,4672,3604,1.3,0.0147
ENG_001379,AUD_000393,Print,9182,6706,1.37,0.0168
ENG_001380,AUD_000393,TV,190442,130669,1.46,0.0042
ENG_001381,AUD_000393,Streaming,73180,45743,1.6,0.007
ENG_001382,AUD_000393,OOH,3208,2431,1.32,0.006
ENG_001383,AUD_000394,Streaming,21137,15681,1.35,0.015
ENG_001384,AUD_000394,Radio,12946,9072,1.43,0.0184
ENG_001385,AUD_000394,Print,6083,4051,1.5,0.0117
ENG_001386,AUD_000394,Social,5248,4236,1.24,0.0394
ENG_001387,AUD_000395,TV,88755,67816,1.31,0.0088
ENG_001388,AUD_000395,Print,6810,5328,1.28,0.0075
ENG_001389,AUD_000395,Streaming,40872,28898,1.41,0.0072
ENG_001390,AUD_000395,Email,15379,11659,1.32,0.0154
ENG_001391,AUD_000395,OOH,13273,10855,1.22,0.0066
ENG_001392,AUD_000396,Retail,3037,2597,1.17,0.0155
ENG_001393,AUD_000396,OOH,14512,9913,1.46,0.0114
ENG_001394,AUD_000396,Streaming,14433,10629,1.36,0.0073
ENG_001395,AUD_000396,Social,18036,12149,1.48,0.0655
ENG_001396,AUD_000396,Email,5027,4522,1.11,0.0285
ENG_001397,AUD_000397,Email,18689,13905,1.34,0.0127
ENG_001398,AUD_000397,TV,131395,111113,1.18,0.0095
ENG_001399,AUD_000398,Radio,1392,968,1.44,0.0013
ENG_001400,AUD_000398,Streaming,10197,7837,1.3,0.0146
ENG_001401,AUD_000399,OOH,17369,12689,1.37,0.0181
ENG_001402,AUD_000399,Email,15632,11871,1.32,0.0234
ENG_001403,AUD_000399,Print,18958,16805,1.13,0.0119
ENG_001404,AUD_000399,Digital,30172,25216,1.2,0.0218
ENG_001405,AUD_000399,Radio,11829,7957,1.49,0.0074
ENG_001406,AUD_000400,OOH,19811,14313,1.38,0.0076
ENG_001407,AUD_000400,Email,16712,12920,1.29,0.026
ENG_001408,AUD_000400,Digital,15237,12768,1.19,0.0473
ENG_001409,AUD_000400,Radio,15103,13229,1.14,0.0059
ENG_001410,AUD_000401,Streaming,10067,6587,1.53,0.0123
ENG_001411,AUD_000401,Radio,7774,5945,1.31,0.0195
ENG_001412,AUD_000402,Retail,3147,2797,1.13,0.0043
ENG_001413,AUD_000402,Radio,10495,6324,1.66,0.0273
ENG_001414,AUD_000402,TV,51023,34478,1.48,0.0022
ENG_001415,AUD_000403,TV,161953,105132,1.54,0.0017
ENG_001416,AUD_000403,OOH,12645,11188,1.13,0.0151
ENG_001417,AUD_000403,Print,8741,7805,1.12,0.0129
ENG_001418,AUD_000403,Radio,1526,1177,1.3,0.0228
ENG_001419,AUD_000403,Retail,3097,2397,1.29,0.0186
ENG_001420,AUD_000404,OOH,16882,15077,1.12,0.0077
ENG_001421,AUD_000404,Retail,4070,2887,1.41,0.0188
ENG_001422,AUD_000405,Email,17579,14489,1.21,0.0208
ENG_001423,AUD_000405,OOH,12349,10755,1.15,0.0263
ENG_001424,AUD_000405,Print,15833,10053,1.57,0.0043
ENG_001425,AUD_000405,Digital,46402,36361,1.28,0.0201
ENG_001426,AUD_000406,Retail,2491,2125,1.17,0.0103
ENG_001427,AUD_000406,Print,12106,9002,1.34,0.0148
ENG_001428,AUD_000406,TV,176713,120748,1.46,0.0049
ENG_001429,AUD_000406,Social,6171,3849,1.6,0.0333
ENG_001430,AUD_000407,Email,13566,11812,1.15,0.0031
ENG_001431,AUD_000407,OOH,3666,3219,1.14,0.0229
ENG_001432,AUD_000407,Social,18011,13341,1.35,0.0424
ENG_001433,AUD_000407,Digital,43838,37750,1.16,0.0315
ENG_001434,AUD_000408,Digital,43970,26916,1.63,0.0412
ENG_001435,AUD_000408,Email,2957,2061,1.43,0.0014
ENG_001436,AUD_000408,Print,10393,7329,1.42,0.0043
ENG_001437,AUD_000409,Print,12938,8866,1.46,0.0104
ENG_001438,AUD_000409,Radio,19588,12147,1.61,0.0075
ENG_001439,AUD_000409,Retail,2981,2616,1.14,0.0094
ENG_001440,AUD_000410,OOH,7174,5617,1.28,0.0082
ENG_001441,AUD_000410,Streaming,17251,14360,1.2,0.0164
ENG_001442,AUD_000410,Email,12017,8063,1.49,0.0118
ENG_001443,AUD_000411,Radio,18750,11363,1.65,0.0125
ENG_001444,AUD_000411,OOH,6125,4600,1.33,0.0222
ENG_001445,AUD_000411,Digital,12866,10013,1.28,0.0466
ENG_001446,AUD_000412,Email,16423,12338,1.33,0.0259
ENG_001447,AUD_000412,OOH,5793,4828,1.2,0.0238
ENG_001448,AUD_000412,Print,7237,5351,1.35,0.0282
ENG_001449,AUD_000412,Radio,9111,5596,1.63,0.028
ENG_001450,AUD_000412,Digital,34861,23212,1.5,0.0356
ENG_001451,AUD_000413,Print,1892,1458,1.3,0.0201
ENG_001452,AUD_000413,Email,17337,13019,1.33,0.0105
ENG_001453,AUD_000413,Social,11976,10692,1.12,0.0675
ENG_001454,AUD_000414,Retail,3480,2778,1.25,0.0139
ENG_001455,AUD_000414,Email,5603,4371,1.28,0.0056
ENG_001456,AUD_000415,Streaming,67860,53178,1.28,0.0157
ENG_001457,AUD_000415,TV,88683,63978,1.39,0.0023
ENG_001458,AUD_000416,Radio,8785,5312,1.65,0.019
ENG_001459,AUD_000416,Retail,1142,937,1.22,0.0133
ENG_001460,AUD_000416,Social,4967,3081,1.61,0.0465
ENG_001461,AUD_000417,Email,10108,8495,1.19,0.0102
ENG_001462,AUD_000417,OOH,3967,3233,1.23,0.0181
ENG_001463,AUD_000417,Streaming,70339,56354,1.25,0.0197
ENG_001464,AUD_000418,TV,132686,110055,1.21,0.0072
ENG_001465,AUD_000418,OOH,1072,760,1.41,0.0225
ENG_001466,AUD_000418,Digital,27199,21366,1.27,0.0291
ENG_001467,AUD_000418,Radio,15332,11598,1.32,0.0262
ENG_001468,AUD_000419,TV,56300,39678,1.42,0.0082
ENG_001469,AUD_000419,OOH,2489,1798,1.38,0.013
ENG_001470,AUD_000419,Radio,6953,4307,1.61,0.0047
ENG_001471,AUD_000419,Print,4498,3127,1.44,0.0169
ENG_001472,AUD_000420,TV,108823,79978,1.36,0.0089
ENG_001473,AUD_000420,Digital,41486,34486,1.2,0.0145
ENG_001474,AUD_000420,Social,24758,19114,1.3,0.0386
ENG_001475,AUD_000420,Retail,2324,1724,1.35,0.0149
ENG_001476,AUD_000420,OOH,1082,931,1.16,0.0134
ENG_001477,AUD_000421,TV,106557,64999,1.64,0.006
ENG_001478,AUD_000421,Radio,17444,11534,1.51,0.026
ENG_001479,AUD_000421,Retail,4726,4152,1.14,0.0133
ENG_001480,AUD_000422,Social,12009,9607,1.25,0.0228
ENG_001481,AUD_000422,Print,14077,10451,1.35,0.0118
ENG_001482,AUD_000422,Email,12465,9588,1.3,0.014
ENG_001483,AUD_000423,Radio,1098,763,1.44,0.0226
ENG_001484,AUD_000423,Retail,4120,3066,1.34,0.0201
ENG_001485,AUD_000423,TV,142744,127494,1.12,0.0036
ENG_001486,AUD_000424,Radio,18713,16347,1.14,0.0244
ENG_001487,AUD_000424,Streaming,79284,58215,1.36,0.0082
ENG_001488,AUD_000424,TV,176990,132946,1.33,0.0078
ENG_001489,AUD_000425,Digital,23882,21072,1.13,0.0107
ENG_001490,AUD_000425,TV,125040,78236,1.6,0.0015
ENG_001491,AUD_000425,Retail,4324,3548,1.22,0.0282
ENG_001492,AUD_000425,OOH,10927,8457,1.29,0.0044
ENG_001493,AUD_000425,Streaming,59673,36050,1.66,0.0151
ENG_001494,AUD_000426,Streaming,60122,53554,1.12,0.0063
ENG_001495,AUD_000426,Email,10323,6245,1.65,0.009
ENG_001496,AUD_000426,Digital,48487,38611,1.26,0.0118
ENG_001497,AUD_000426,Radio,2357,2030,1.16,0.01
ENG_001498,AUD_000426,Print,19087,13175,1.45,0.0285
ENG_001499,AUD_000427,Digital,31616,27260,1.16,0.0328
ENG_001500,AUD_000427,OOH,2216,1945,1.14,0.0121
ENG_001501,AUD_000427,TV,130674,102859,1.27,0.004
ENG_001502,AUD_000428,Email,13902,9221,1.51,0.0073
ENG_001503,AUD_000428,TV,126777,94597,1.34,0.0088
ENG_001504,AUD_000428,Radio,10974,7778,1.41,0.0234
ENG_001505,AUD_000428,Streaming,22750,16956,1.34,0.0129
ENG_001506,AUD_000429,Social,10725,9238,1.16,0.0601
ENG_001507,AUD_000429,Radio,9540,6502,1.47,0.0194
ENG_001508,AUD_000429,TV,156685,112877,1.39,0.0032
ENG_001509,AUD_000430,TV,118118,83520,1.41,0.0063
ENG_001510,AUD_000430,Email,18982,11492,1.65,0.0213
